master.number,nest.id,host.species,lat.direction,latitude,long.direction,longitude,height,tree.species
57,j16,YEWA,N,52.6998256977278,W,102.166838750604,280,cat tail
22,j47,YEWA,N,52.1802153811476,W,100.951530691304,143,NA
346,a75,YEWA,N,53.0268446109372,W,102.240360424164,127,red-berried elder
243,e76,YEWA,N,53.028734746401,W,99.8007906133071,72,red-berried elder
161,a11,YEWA,N,53.5970209249023,W,102.005629743773,23,cat tail
177,a54,YEWA,N,52.2921211352053,W,101.445369151112,161,choke cherry
185,e104,YEWA,N,53.9751604055965,W,102.866873676774,34,N/A
291,a128,AMRO,N,54.621705247581,W,103.083170761742,12,phragmites
298,a60,YEWA,N,53.8116471129385,W,103.305574724956,70,raspberry
112,a88,YEWA,N,53.318503514834,W,102.242381285672,120,Box elder
123,e69,YEWA,N,55.1666290881199,W,99.7876150202915,83,red-berried elder
332,e42,YEWA,N,55.0334122995785,W,101.786559028483,100,cat tail
361,e81,YEWA,N,54.2498573046765,W,103.172314434638,21,peach willow
313,e14,AMRO,N,53.1113199290395,W,102.381793097656,336,box elder
283,a130,YEWA,N,54.320714255549,W,100.601773628533,83,box elder
31,a73,RWBL,N,54.3219164106816,W,100.592917563013,84,red-berried elder
72,e133,GRCA,N,52.1351054145181,W,102.742361290768,78,red-berried elder
276,e99,YEWA,N,51.9586929096222,W,102.759612424871,141,Box elder
99,a49,RWBL,N,54.6786830083251,W,100.026204750818,197,Box elder
254,e96,YEWA,N,53.566116142801,W,102.481124873776,185,red-berried elder
351,a1,YEWA,N,53.9252169770074,W,100.538738130189,13,box elder
204,j46,YEWA,N,52.4096129779181,W,100.708729725024,NA,box elder
253,a155,AMRO,N,53.9459742855066,W,103.3203849301,121,red-berried elder
362,a31,RWBL,N,52.5488726032028,W,100.260964194326,139,siberian elm
318,j55,RWBL,N,52.887882021988,W,102.920607755175,87,Box elder
27,j27,RWBL,N,55.0299134768233,W,102.482920363889,95,Box elder
273,a24,GRCA,N,54.6720444486779,W,101.269659860538,21,red-berried elder
147,e116,YEWA,N,54.6732878338152,W,101.221425970019,320,Red-berried elder
340,a55,RWBL,N,54.7410473160812,W,103.084543431847,234,red-berried elder
126,e97,RWBL,N,52.8757263581568,W,102.322892675198,200,red-berried elder
29,e134,YEWA,N,51.9460220501274,W,101.292381875117,46,Red-berried elder
197,a17,YEWA,N,53.8909631725255,W,100.108555559199,44,box elder
191,a61,LEFL,N,52.3586264300433,W,102.570284394838,64,box elder
322,e132,YEWA,N,53.7081875001791,W,101.564266974556,84,box elder
287,e80,GRCA,N,54.5014836815417,W,101.731469004363,332,chokecherry
289,e109,YEWA,N,52.5810841538432,W,102.479724703172,54,box elder
35,a81,YEWA,N,53.9030820344982,W,100.273755698825,44,box elder
286,a157,YEWA,N,52.0336981031477,W,102.774499473121,19,cat tail
38,a177,YEWA,N,53.5372637940669,W,103.260058039587,146,box elder
359,a58,GRCA,N,51.5776174666107,W,101.490464233087,145,box elder
234,e40,YHBL,N,54.1014555270535,W,101.998469178395,55,red-berried elder
210,e47,RWBL,N,54.2191822795346,W,101.994320844321,50,red-berried elder
360,e57,RWBL,N,52.4532084684446,W,102.149496288576,350,NA
19,a174,GRCA,N,53.3822892194253,W,101.98094258788,122,red-berried elder
343,e88,YEWA,N,52.242620796147,W,100.583410749547,36,box elder
225,a79,GRCA,N,54.3569092690834,W,102.242222905403,55,red-berried elder
48,a104,YEWA,N,54.6335245786622,W,101.630360233121,71,box elder
257,a97,YEWA,N,51.6824807509893,W,102.356870125907,33,box elder
251,a50,YEWA,N,53.7875190450507,W,102.569911219597,112,box elder
137,a172,AMRO,N,53.9971766651747,W,101.551387611097,225,peachleaf willow
109,e92,YEWA,N,51.3258115458974,W,103.0368888914,108,red-berried elder
166,a161,LEFL,N,51.7042910030475,W,103.281287425052,73,red-berried elder
341,e72,YEWA,N,53.4134691484076,W,100.336619480235,253,na
84,e113,RWBL,N,52.3749652858385,W,102.474563126462,63,dwarf raspberrry
135,j59,YEWA,N,51.6233280166784,W,101.372784679145,NA,N/A
308,a78,RWBL,N,55.0040847818226,W,102.177988404073,99,red-berried elder
220,j5,YEWA,N,54.1970115684989,W,101.63551902767,218,red-berried elder
213,a53,AMRO,N,54.8832276189265,W,102.365356491253,154,choke cherry
173,e44,RWBL,N,52.0783688900903,W,100.161925113823,230,na
203,e10,RWBL,N,51.2020870430261,W,102.467756908675,19,Box elder
199,j43,YEWA,N,51.8638578094688,W,100.467407802771,63,box elder
183,e1,AMRO,N,51.5621257034019,W,100.148290430808,172,Cat tail
317,a30,GRCA,N,53.0299875194871,W,100.644126119907,144,box elder
349,e114,YEWA,N,51.7643092135552,W,100.464251102141,152,cat tail
175,e13,YEWA,N,52.0627462387189,W,100.788013825596,191,Red-berried elder
302,a142,GRCA,N,54.5228478788227,W,100.024590327364,39,red-berried elder
128,j65,RWBL,N,54.2063945011824,W,101.935396324683,77,N/A
136,a148,YEWA,N,53.1856657351199,W,102.459676921453,142,raspberry
198,e50,RWBL,N,51.972200663555,W,99.3891080206376,202,red-berried elder
364,e71,YEWA,N,54.3191337554786,W,102.614445624535,160,Box elder
94,a22,GRCA,N,51.446560794631,W,101.891255840382,87,red-berried elder
24,j10,GRCA,N,52.3659934561157,W,100.387031606818,162,box elder
237,a39,YEWA,N,51.5997545340759,W,103.227072286172,134,raspberry
32,e49,RWBL,N,53.0224173371068,W,102.003857126521,63,NA
240,a18,RWBL,N,54.9484835337326,W,99.8350884757721,205,red-berried elder
344,e38,GRCA,N,53.3106750648046,W,102.94133126722,286,cat tail
300,e23,YEWA,N,52.9436106627992,W,101.729242088706,143,Cat tail
71,a170,YEWA,N,54.807855942632,W,102.304137205731,76,box elder
8,a16,YEWA,N,54.5095260817057,W,99.7571381957558,167,red-berried elder
202,a52,YEWA,N,51.3707261680299,W,99.7988617942271,240,box elder
314,a4,YEWA,N,54.2807328977519,W,102.952974339861,213,dead tree
108,a44,YEWA,N,54.2983770607793,W,101.605370032119,59,Red-berried elder
25,a83,RWBL,N,54.3450246430087,W,101.617487183928,47,box elder
127,e118,YEWA,N,54.2122742338574,W,100.789415096496,121,western snowberry
216,e86,YEWA,N,52.1215792561457,W,101.627483733433,169,cat tail
319,j63,YEWA,N,52.0185593061397,W,103.239472072519,198,raspberry
306,a162,RWBL,N,52.8727298564214,W,99.9060632921964,104,wormwood
252,e85,GRCA,N,52.2459354433292,W,101.973316965593,240,goodding's willow
65,j62,GRCA,N,53.4833463978711,W,102.839645745916,112,red-berried elder
180,a65,YEWA,N,53.8536733688477,W,100.755503861648,87,red-berried elder
193,a112,GRCA,N,52.8363108973268,W,103.140947871919,197,NA
42,e26,GRCA,N,51.5239137243891,W,99.8743990513489,81,red-berried elder
258,a82,LEFL,N,51.5625997524849,W,102.375048342457,149,red-berried elder
242,j9,GRCA,N,52.5967338759977,W,102.665095380663,77,cat tail
264,e87,RWBL,N,53.5044689564437,W,101.257284191448,193,red-berried elder
310,a99,RWBL,N,53.4642141130608,W,102.902412958345,33,dead tree
294,e9,YEWA,N,51.3244668591514,W,103.060866369948,48,box elder
334,e105,YEWA,N,54.969574038569,W,102.892415497836,21,phragmites
290,j35,YEWA,N,55.1356807975948,W,103.267252105829,71,cat tail
304,a127,YEWA,N,53.8673389509687,W,102.260756320634,114,Box elder
4,a25,YEWA,N,53.6245601529244,W,101.526342379097,214,N/A
130,e34,YEWA,N,53.0210625484425,W,101.094595514439,144,cat tail
268,a91,YEWA,N,55.0492293258733,W,100.870565930177,48,cat tail
282,e39,YEWA,N,52.1093178956661,W,101.851986380361,169,phragmites
288,a164,YEWA,N,52.8921575745034,W,100.364945451536,80,box elder
97,a166,RWBL,N,52.9152120165467,W,100.870598601071,56,peachleaf willow
315,j53,YEWA,N,52.2290583712626,W,100.372307405094,96,choke cherry
101,e127,YEWA,N,54.7001152136305,W,102.516338391435,172,box elder
1,j33,LEFL,N,53.8827168219545,W,101.211310301853,51,western snowberry
336,a137,YEWA,N,53.5243076889586,W,102.250673390749,104,NA
358,a8,YEWA,N,55.1018431092516,W,103.079605767763,102,red-berried elder
324,a165,GRCA,N,51.932857156333,W,102.698351841472,260,red-berried elder
91,r2,AMRO,N,53.2805129340583,W,101.00175957898,160,red-berried elder
49,a171,AMRO,N,51.2747950225529,W,100.117510137367,64,red-berried elder
293,a169,AMRO,N,54.1753906834751,W,102.123526481277,68,box elder
55,a145,YEWA,N,52.5624235445437,W,100.839624265432,128,red-berried elder
122,a51,YEWA,N,52.9773185016361,W,101.142732396918,36,red-berried elder
67,e36,GRCA,N,52.9935562834114,W,101.997444659261,86,Box elder
284,e46,YEWA,N,51.2910717270076,W,100.839049204835,35,phragmites
141,j2,RWBL,N,53.2707760425448,W,102.640955920931,170,NA
132,a36,YEWA,N,53.1699909214601,W,101.982123666164,33,cat tail
14,a134,GRCA,N,54.967937045953,W,101.829206804536,48,cat tail
69,e90,YEWA,N,52.8919475562695,W,100.635909874498,56,NA
331,a32,MODO,N,55.1125654333046,W,102.31327646993,166,red-berried elder
157,e16,GRCA,N,51.6264140009701,W,100.393726668737,175,red-berried elder
107,a90,YEWA,N,55.0954201126227,W,101.44672793284,16,box elder
121,a12,YEWA,N,53.0494792955232,W,102.756382328521,94,box elder
266,j37,AMRO,N,52.156018853943,W,100.703271905307,185,western snowberry
30,j49,AMRO,N,51.2357557156542,W,102.051385031244,26,box elder
169,a14,YEWA,N,53.7772442711014,W,102.671500266191,48,red-berried elder
96,a143,LEFL,N,53.0715800343996,W,102.451845728677,186,chokecherry
194,a139,RWBL,N,52.7871793550852,W,102.716986042739,97,NA
86,j19,AMRO,N,51.2830675879064,W,100.646208000025,73,phragmites
50,e94,RWBL,N,53.839493534056,W,99.816784903774,185,ash
5,a159,RWBL,N,52.0584542419344,W,101.518648060502,111,box elder
54,a163,YEWA,N,53.3360969806674,W,101.167588972178,136,red-berried elder
119,e112,RWBL,N,52.169611784814,W,103.365426357834,31,choke cherry
292,e5,AMRO,N,54.2275881382564,W,101.601854625644,68,N/A
89,e51,YEWA,N,54.0036944665873,W,100.464006867989,53,box elder
10,j8,GRCA,N,53.368868420864,W,99.739284187645,209,red-berried elder
241,a118,AMRO,N,55.0836713982409,W,102.206040950729,50,red-berried elder
155,e19,YEWA,N,51.738669272764,W,99.8804884265158,137,phragmites
221,a119,RWBL,N,54.2615288928968,W,102.782121544488,254,choke cherry
280,a116,YEWA,N,51.3238147857022,W,101.283217109357,192,raspberry
285,e78,YEWA,N,51.7346278392422,W,100.46856747434,102,red-berried elder
87,j7,RWBL,N,51.3392885282123,W,100.054366259406,133,red-berried elder
190,e126,RWBL,N,52.6835075168076,W,101.200196828267,123,red-berried elder
350,a136,MODO,N,51.3030082595232,W,99.7603981048304,144,red-berried elder
321,a105,YEWA,N,52.8301664412886,W,102.596799685293,233,box elder
215,e63,AMRO,N,55.0935465793398,W,100.620244512886,258,box elder
230,a125,YEWA,N,51.7609484570783,W,99.4946945566702,94,cat tail
47,a94,RWBL,N,51.9942415385598,W,102.286949457478,74,red-berried elder
88,e70,YEWA,N,51.3283638856581,W,101.338014671578,12,box elder
307,j23,AMRO,N,53.2796267561832,W,99.8965347967228,210,box elder
144,e24,GRCA,N,55.0569792497644,W,102.064524095982,126,choke cherry
53,a29,RWBL,N,51.2771660913539,W,102.159158494371,73,red-berried elder
51,e61,YEWA,N,53.5134505785492,W,102.463385626994,177,box elder
186,j12,YEWA,N,54.4873663245955,W,100.484363558833,153,red-berried elder
140,e130,YEWA,N,53.0223538228223,W,101.930442341679,61,box elder
189,e66,COGR,N,53.9519171607742,W,100.705590067374,41,red-berried elder
357,e82,GRCA,N,51.575758431353,W,101.755265684911,160,cat tail
181,e52,RWBL,N,52.2357994342437,W,100.326705792454,218,box elder
297,e79,RWBL,N,51.9977029442766,W,99.5946554822397,60,box elder
41,j51,AMRO,N,51.5232818349436,W,101.716891682854,230,NA
296,e129,YEWA,N,51.7870269104683,W,101.219853400986,90,choke cherry
305,a126,COGR,N,51.8872397841433,W,99.6641441419673,80,box elder
100,j41,GRCA,N,53.3945032844627,W,102.594359999132,120,grass
139,a38,RWBL,N,52.7732268401349,W,103.148614900384,44,common hackleberry
148,a43,YEWA,N,53.2332606251472,W,100.034156596014,60,red-berried elder
110,j52,YEWA,N,53.2800045555443,W,103.25618553765,72,red-berried elder
20,a150,YEWA,N,52.669425305219,W,102.178518008803,144,raspberry
44,a152,YEWA,N,52.4000993345591,W,102.728133935667,239,choke cherry
368,a102,YEWA,N,52.457274203417,W,101.231785599026,189,choke cherry
274,j24,YEWA,N,54.5137204708555,W,101.579712168663,109,red-berried elder
6,a175,YEWA,N,52.8366299455124,W,102.383434449521,43,cat tail
339,j3,AMRO,N,52.2646497127795,W,100.156015068186,73,phragmites
93,a149,AMRO,N,54.7543732273313,W,100.705497979878,55,NA
98,j22,YEWA,N,53.2466273679101,W,101.442596740025,13,Red-berried elder
63,j32,GRCA,N,54.4360165961799,W,101.728686430443,110,raspberry
76,e128,RWBL,N,52.4173158493286,W,100.819616823637,261,red-berried elder
179,j6,YEWA,N,53.1374418315241,W,103.119348872767,230,cat tail
26,a122,YEWA,N,55.0620378334066,W,102.759405138592,47,red-berried elder
158,a98,YEWA,N,53.1340669739065,W,101.792200632823,33,ash
327,e54,YEWA,N,52.1110805389234,W,102.482124995497,137,red-berried elder
368,e122,YEWA,N,53.8458085602513,W,100.329608305987,70,cat tail
262,a96,YEWA,N,53.0890221199015,W,102.694141171018,184,cat tail
256,a117,YEWA,N,52.9022424444613,W,101.446882243592,150,red-berried elder
263,e59,GRCA,N,51.7719173591036,W,101.903392193215,191,Red-berried elder
45,a154,YEWA,N,54.7488102646598,W,101.613319925177,191,cat tail
75,a42,YEWA,N,51.6852922666401,W,103.05747958005,30,box elder
46,e102,YEWA,N,52.1160066860127,W,99.7738628946877,139,box elder
301,a63,RWBL,N,51.686372721011,W,101.514585167484,30,choke cherry
115,e73,RWBL,N,51.9331171665746,W,100.138493469974,171,cat tail
229,a89,YEWA,N,54.529287215955,W,102.839722471239,86,box elder
56,a113,YEWA,N,54.6725063818544,W,100.37196621175,190,box elder
246,j30,GRCA,N,51.201823004961,W,100.785967500423,18,red-berried elder
125,j17,AMRO,N,51.5787538590482,W,102.290011989493,41,Box elder
247,e37,YEWA,N,54.8656459372935,W,100.249135004627,156,red-berried elder
81,e31,YEWA,N,54.861840758628,W,99.6310828439078,17,box elder
178,j15,YEWA,N,53.324493084375,W,99.5629845521709,80,box elder
18,e12,AMRO,N,53.5109468378454,W,101.224207513416,60,red-berried elder
277,a57,AMRO,N,54.8707156955272,W,100.736099442307,310,box elder
150,a37,GRCA,N,51.4998149155238,W,102.71227917735,202,box elder
36,j57,YEWA,N,53.9214306741005,W,99.9887793681616,192,peachleaf willow
17,e108,YEWA,N,55.1428313326597,W,99.7268513307041,109,box elder
200,a92,YEWA,N,51.9734088182363,W,101.085749419606,52,Box elder
352,e110,YEWA,N,55.0683711688063,W,100.796644169784,154,cat tail
299,e30,YEWA,N,53.9471620284724,W,99.975153187815,141,box elder
82,a93,AMRO,N,52.8313414092708,W,102.265486269878,31,dwarf raspberry
329,a47,AMRO,N,51.3661169560197,W,99.8076308064023,115,box elder
312,e75,YEWA,N,51.7631583848479,W,100.010555098341,0,NA
102,j64,YEWA,N,53.961163350305,W,101.436455608797,164,peachleaf willow
105,a62,AMRO,N,53.3689061726686,W,100.628210585013,42,Red-berried elder
218,a129,YEWA,N,54.3833524864346,W,99.4332674416852,184,NA
145,a66,AMRO,N,53.9598305694315,W,99.7697163971987,39,Box elder
365,e28,RWBL,N,54.7674701934174,W,100.670257519495,61,cat tail
188,a6,GRCA,N,53.5945537617609,W,102.498073814743,71,red osier dogwood
77,a72,YEWA,N,53.0562517442593,W,102.190348620267,56,red-berried elder
368,a123,AMRO,N,51.7939234388781,W,100.330542512854,155,box elder
134,a100,YEWA,N,54.0425810727915,W,101.063961037225,39,red-berried elder
206,e107,YEWA,N,54.6731848956069,W,99.5419341717631,180,N/A
354,r1,YEWA,N,54.8588686068949,W,102.431235957817,203,raspberry
259,a131,GRCA,N,54.3551569803345,W,102.366410777023,97,dogwood
227,a20,YEWA,N,54.5048241242206,W,101.536080473077,158,red-berried elder
236,a5,YEWA,N,52.1042323156598,W,103.09630588914,11,box elder
28,e100,YEWA,N,51.9767168029618,W,99.9848373501119,29,box elder
149,e91,RWBL,N,51.2911153715718,W,101.522175089698,90,box elder
64,a19,YEWA,N,54.8026240803388,W,99.5049748958156,56,phragmites
162,a124,YEWA,N,54.5366544677469,W,101.994558208189,74,box elder
309,j38,YEWA,N,51.4746974904045,W,101.463357340997,148,N/A
267,j60,AMRO,N,51.5241964713863,W,100.161784436565,138,raspberry
271,a48,RWBL,N,51.340825770762,W,102.523391246776,56,box elder
11,j11,RWBL,N,51.504217511242,W,100.248653866346,NA,box elder
159,a41,YEWA,N,52.5749706103224,W,100.259877501452,6,NA
167,e65,GRCA,N,54.3657016581973,W,99.8023687420261,117,box elder
255,a46,YEWA,N,51.7925045525613,W,99.6912430477747,133,Box elder
366,a103,YEWA,N,52.6879500244018,W,103.201988249924,59,NA
345,j13,YEWA,N,54.4890447486424,W,103.071042300022,110,red-berried elder
58,j58,YEWA,N,52.3084467572555,W,102.181291400945,60,peachleaf willow
39,j4,GRCA,N,52.3614541828287,W,100.617936500935,320,red-berried elder
156,e53,YEWA,N,52.1115137390625,W,102.958224881238,137,Box elder
138,a138,RWBL,N,51.4828277110189,W,100.833365176706,53,red-berried elder
245,e17,AMRO,N,52.4563263074216,W,103.034583650269,130,cat tail
182,a114,RWBL,N,52.8714367799001,W,102.953245831198,53,red-berried elder
13,a15,GRCA,N,53.7594026793614,W,101.100705745193,140,box elder
219,e131,AMRO,N,52.7616431134748,W,100.665116570582,35,peachleaf willow
113,e60,YEWA,N,52.3251615243277,W,101.05868909318,164,box elder
176,j44,YEWA,N,54.1407367856559,W,101.337327361301,77,box elder
37,a151,YEWA,N,51.5069435275942,W,102.91605490029,121,box elder
231,e22,AMRO,N,52.9182442519316,W,99.5580101283425,186,N/A
187,j25,AMRO,N,52.141281151529,W,100.303801423628,31,cat tail
235,a85,RWBL,N,52.0535939590356,W,99.7796705225581,163,phragmites
78,e33,YEWA,N,52.964291611402,W,102.729435754257,70,box elder
146,a173,YEWA,N,53.9316381385681,W,99.3946227244264,164,box elder
21,e84,YEWA,N,52.7584402997038,W,101.911323935342,160,box elder
209,a74,RWBL,N,52.4110798876613,W,103.320415287657,141,ash
124,a160,AMRO,N,51.5828940222311,W,100.993251982429,98,box elder
325,e18,GRCA,N,54.6138542577469,W,102.392529583,44,box elder
207,e25,YEWA,N,54.676133777132,W,103.198980719588,160,cat tail
142,a76,YEWA,N,52.0009106673655,W,101.444259911095,149,cat tail
52,e95,AMRO,N,51.9074911780494,W,101.700402569479,122,Box elder
295,e35,YEWA,N,52.142162304711,W,102.695825286054,45,box elder
60,a59,YEWA,N,53.6168890646949,W,101.04309153197,115,peachleaf willow
23,a13,YEWA,N,54.6080358472165,W,101.215169861059,130,cat tail
333,a109,YEWA,N,51.4426555417639,W,103.014390726822,NA,peachleaf willow
2,j50,YEWA,N,54.5755004925394,W,100.493241318506,162,red-berried elder
61,e125,RWBL,N,53.4370197893485,W,100.519930781406,31,red-berried elder
43,j29,YEWA,N,51.3882764791539,W,100.75733996313,273,box elder
320,e83,YEWA,N,51.9545934384122,W,101.094690017807,62,cat tail
356,a27,GRCA,N,52.7429314294842,W,101.045262469122,100,cat tail
338,e45,YEWA,N,55.182569751361,W,102.112414383717,31,box elder
40,a144,LEFL,N,53.2240049468511,W,100.11151737842,13,red-berried elder
33,a69,RWBL,N,52.6248726973793,W,100.97070656059,177,red-berried elder
192,a115,YEWA,N,54.134634634749,W,102.61338594786,114,red-berried elder
347,e32,LEFL,N,54.0571790358677,W,100.094104023409,192,box elder
133,a35,YEWA,N,54.3678530464506,W,100.918041156646,90,red-berried elder
114,a67,YEWA,N,53.476465175485,W,101.078942037537,232,raspberry
106,a135,YEWA,N,52.4569892115456,W,102.392988056467,205,red-berried elder
116,e106,YEWA,N,53.2111295731536,W,101.413398353144,250,box elder
92,a108,YEWA,N,53.422487249935,W,102.752151181284,174,cat tail
337,e111,YEWA,N,53.3802683837011,W,99.7238913861334,80,phragmites
232,e2,AMRO,N,52.6042032211506,W,102.788325443627,54,Box elder
74,a9,YEWA,N,53.7077434417444,W,102.416276949626,195,N/A
261,a121,RWBL,N,53.6332162850761,W,100.263437867939,130,box elder
328,e27,YEWA,N,52.4997500731677,W,100.157741899609,14,box elder
326,e98,YEWA,N,54.9103153544569,W,102.583638146292,137,box elder
303,e43,RWBL,N,53.4397138171691,W,99.7984590410093,74,N/A
275,e68,YEWA,N,51.8849208748889,W,101.18680600774,200,cat tail
15,e93,YEWA,N,52.578497244364,W,102.795429833621,18,red-berried elder
278,a40,YEWA,N,51.750207235193,W,101.970487563666,280,box elder
103,j14,RWBL,N,52.3120602456498,W,102.730794786744,130,gooding's willow
118,j42,GRCA,N,52.9283490446281,W,102.669577787944,86,NA
248,j20,YEWA,N,51.617062054036,W,101.285159812007,160,box elder
281,j21,YEWA,N,54.2752743310958,W,100.882745286436,3,red-berried elder
70,e115,YEWA,N,52.9578038117781,W,99.4898918939438,225,red-berried elder
260,a86,YEWA,N,53.0479493743399,W,101.938134033163,240,box elder
171,e58,YEWA,N,51.2253987327531,W,99.849514017553,60,box elder
270,a70,YEWA,N,53.6571413177776,W,103.036813849181,23,red-berried elder
342,e120,AMRO,N,53.2587281879586,W,101.843328650325,56,NA
272,a147,YEWA,N,53.1085913956618,W,99.2962810759759,156,red-berried elder
233,a80,GRCA,N,54.5621178926131,W,101.685072707033,103,cat tail
153,e67,LEFL,N,51.9222230368537,W,100.36179889181,174,NA
120,e48,RWBL,N,53.523433776007,W,99.539656057106,9,peachleaf willow
3,e56,YEWA,N,54.0414099950409,W,99.4936879220948,NA,box elder
111,e41,YEWA,N,51.3088346329525,W,99.5255285393086,39,red-berried elder
170,a68,YEWA,N,51.9519719297838,W,101.035290131724,97,Box elder
238,a111,YEWA,N,51.8857797914064,W,102.563569818968,110,dead bush
205,a107,AMRO,N,52.9530495003849,W,101.347120626146,39,Box elder
279,j61,AMRO,N,54.8962215556261,W,102.736497874851,57,NA
239,j31,YEWA,N,54.8092455783153,W,101.443176004709,250,red-berried elder
269,a153,YEWA,N,54.296932814253,W,100.626692990381,323,dead tree
12,a2,RWBL,N,52.7237120142484,W,101.515285771009,442,eastern cottonwood
68,a167,YEWA,N,53.4559065628964,W,101.053576679797,168,cat tail
335,e121,AMRO,N,52.9078788454324,W,102.625792137446,208,ash
95,a158,YEWA,N,54.8714292263499,W,99.8618830694485,135,western snowberry
129,j26,YEWA,N,52.9625790569952,W,100.094264051782,150,box elder
117,a168,YEWA,N,52.8675180367258,W,101.845076719019,139,NA
355,a84,GRCA,N,54.6076453905875,W,94.7686247680652,133,box elder
222,e6,YEWA,N,52.0297795383719,W,102.416977578769,260,choke cherry
152,e55,YEWA,N,54.7745246265829,W,103.337334738435,248,box elder
353,j40,YEWA,N,51.2583657175317,W,100.388206098925,140,red-berried elder
184,j56,GRCA,N,51.5653964625293,W,101.622260517628,67,Peach willow
172,a106,YEWA,N,51.5375680552515,W,100.453591670751,270,box elder
223,e29,YEWA,N,53.5616088853213,W,102.475979829298,134,phragmites
367,e89,YEWA,N,52.4263946862993,W,102.149667967259,161,Box elder
